Key	Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
1	0	0.1219386	0.2187714	0.5640732	0.4286567	0.5948257	0.0400914	0.7689982	0.4586507	0.0186623	0.4538829	0.0043615	0.3944347	0.0263338	0.0167139	0.0030338	0.1076905	0.2951889	0.5114337	0.073738	0.0020202	0.0538985	0.137415	0.1795569	0.1279208	0.1365102	0.6104594	0.466394	0.3096857	0.182608	0.3866083	0.2355558	0.0100925	0.2337073	0.1275296	0.6325219	0.534821	0.6588034	0.0893623	0.0595824	0.5956392	0.0740063	0.5767732	0.635626	0.4900854	0.7245241	0.5565796	0.4751939	0.5403753	0.3761481	0.2404779	0.6661031	0.6483381	0.426602	0.1325313	0.4852832	0.4837829	0.2125421	0.2556915	0.0901068	0.1851461	0.0097188	0.3144242	0.5541068	0.4559157	0.4863419	0.3467342	0.4008792	0.3542599	0.53829	0.0240523	0.1950378	0.0180047	0.0260431	0.0765115	0.2918042	0.702319	0.0118421	0.0923768	0.1691423	0.0131041	0.2621019	0.1201776	0.7531897	0.1543521	0.5877811	0.2067926	0.1084554	0.0643853	0.0452933	0.5780936	0.6395015	0.4444547	0.6788071	0.3720313	0.4739814	0.6102841	0.2004083	0.6381631	0.5085082	0.5820179
2	50	0.1338546	0.1987066	0.4766407	0.1489587	0.4788396	0.0533843	0.6642299	0.4031362	0.0144385	0.2409586	0.0098829	0.4090091	0.0113274	0.1134699	0.0023859	0.1262565	0.4205085	0.4820246	0.0219798	0.0010333	0.0774928	0.2108722	0.217882	0.1570939	0.1049724	0.663833	0.4773864	0.1360839	0.2543801	0.423169	0.2371733	0.0335019	0.1429964	0.0764782	0.608016	0.6628111	0.6956798	0.131327	0.0670061	0.6763325	0.2952013	0.4965699	0.429097	0.4735822	0.5668482	0.1414948	0.5582419	0.4333519	0.3761482	0.1561502	0.6898387	0.649082	0.3740432	0.1304233	0.4928007	0.5000606	0.4628638	0.3397816	0.0784393	0.1087328	0.0082053	0.2882596	0.69429	0.2674618	0.4089027	0.4962172	0.3857196	0.4200335	0.4349044	0.0017053	0.1495045	0.0013841	0.0417693	0.0490705	0.3584254	0.4363561	0.0114526	0.0788932	0.1414647	5.21e-05	0.5300406	0.1671081	0.6193248	0.240543	0.4979767	0.1041852	0.1111565	0.0647583	0.2799315	0.5928098	0.6443595	0.4684893	0.5947842	0.511585	0.6229033	0.6733904	0.2371392	0.5519909	0.5252991	0.6331775
3	100	0.1628447	0.2297478	0.4183058	0.144231	0.520811	0.0288849	0.574593	0.3424792	0.0279548	0.1941403	0.021742	0.333022	0.0119595	0.0735564	0.0038764	0.0654055	0.4206779	0.3012661	0.0124655	0.0094427	0.0680183	0.3401527	0.1666235	0.1894823	0.1558108	0.5421133	0.430606	0.1134159	0.2931355	0.4749167	0.194235	0.0145357	0.1616014	0.0984587	0.5837141	0.5160891	0.5013667	0.0838738	0.0521263	0.5987357	0.3323014	0.6282671	0.346764	0.4977202	0.7156378	0.0805497	0.4255473	0.399547	0.1758915	0.1716444	0.4954822	0.4972911	0.1774832	0.1547395	0.5358803	0.5725335	0.5651228	0.3260152	0.0460921	0.0946609	0.0038175	0.3348138	0.6059415	0.2416988	0.2953305	0.4301583	0.3444666	0.4518602	0.547727	0	0.1400623	0.0070626	0.0298184	0.0612062	0.4175263	0.345735	0.0168634	0.0706766	0.1486558	2.9e-06	0.4857598	0.1931042	0.7015929	0.2781247	0.4764923	0.0639097	0.135069	0.0303371	0.3701877	0.6210008	0.6149765	0.4559662	0.5855128	0.482051	0.4814803	0.6461471	0.2817872	0.6250516	0.6413413	0.6916658
4	150	0.1329768	0.2485969	0.4472733	0.0965993	0.6011964	0.063789	0.6949492	0.4215418	0.0909532	0.1377487	0.0091671	0.3426592	0.0035224	0.1136308	0.0010604	0.0343382	0.3103131	0.1699122	0.018569	0.0020399	0.0685808	0.448197	0.1195313	0.1972936	0.1667867	0.6927747	0.4567854	0.112239	0.2622998	0.4675818	0.1463934	0.0304546	0.1547741	0.0700763	0.494882	0.6643149	0.3049925	0.1190923	0.0431648	0.6304795	0.3614783	0.5642569	0.435454	0.5036029	0.6037452	0.0769948	0.3725932	0.3119919	0.1070913	0.2351002	0.3381559	0.3564767	0.1548763	0.1734795	0.4565099	0.5128872	0.7756259	0.4378913	0.0642951	0.0458634	0.0028374	0.2459469	0.5042328	0.2569236	0.3383313	0.4115315	0.2826069	0.4550393	0.4082152	2.5e-06	0.2305155	0.0047176	0.0325275	0.0853041	0.4073634	0.2816548	0.0126273	0.1246836	0.1429	0.0014091	0.5040895	0.1559151	0.5904462	0.3331387	0.5913641	0.0628643	0.1349886	0.0494384	0.4441202	0.5810474	0.5243273	0.3968576	0.5958619	0.4350365	0.5704112	0.6194589	0.2027225	0.6838486	0.6748082	0.5635139
5	200	0.2810192	0.2341959	0.4067602	0.1648972	0.678271	0.0360813	0.5851482	0.5136944	0.0670633	0.0854629	0.0109002	0.4061811	0.0001491	0.1078271	0.0028023	0.0660657	0.4643707	0.1140065	0.0061443	0.0068929	0.0584302	0.3854152	0.1896083	0.3247943	0.1275676	0.6428261	0.4259792	0.1191997	0.3085727	0.5236313	0.159318	0.0268208	0.1438456	0.1374577	0.6049766	0.6351654	0.160777	0.1041401	0.0254925	0.5603016	0.3569955	0.6206078	0.346902	0.4879747	0.6518817	0.0834076	0.3017149	0.2909269	0.0826369	0.1916674	0.3512547	0.2093841	0.2073902	0.1413369	0.5461461	0.7076245	0.6884964	0.3516811	0.071493	0.0529649	0.0091338	0.4401188	0.5817298	0.303801	0.3706873	0.4424835	0.3416675	0.3845178	0.362438	1.24e-05	0.253185	0.0094123	0.0451644	0.1941451	0.4486017	0.207402	0.0102419	0.1040596	0.1247604	0.0038283	0.42468	0.124086	0.6362015	0.3472744	0.6083665	0.0707606	0.1308446	0.0600577	0.3557724	0.5279293	0.5727392	0.4815867	0.6678255	0.4950826	0.6601477	0.513959	0.3225742	0.5701556	0.5410486	0.5491204
6	250	0.3569706	0.2165013	0.5184533	0.2225207	0.7356057	0.0402873	0.5820433	0.4700113	0.0449658	0.1152093	0.0068495	0.3559073	0.0005948	0.1175689	0.0076365	0.0435761	0.3300516	0.0575646	0.0060582	0.0007832	0.0883489	0.4797229	0.323242	0.2466647	0.0925108	0.6106575	0.5562884	0.1172503	0.4707362	0.4428933	0.1405236	0.0296254	0.1720782	0.1142469	0.616925	0.7339973	0.0759679	0.1255969	0.0490493	0.6949577	0.2781314	0.5621402	0.3248693	0.371653	0.6145125	0.0778784	0.1471061	0.218053	0.1065226	0.2057747	0.3137162	0.1845324	0.1771437	0.1785429	0.4234014	0.7297291	0.6627008	0.3349828	0.0519577	0.0558948	0.0106736	0.3907977	0.623555	0.2325497	0.3731223	0.4136456	0.3318074	0.3886659	0.2581031	0.0003226	0.3968586	0.0665879	0.1625551	0.300877	0.5116222	0.2088639	0.0153052	0.0825641	0.1519051	0.0006018	0.5268976	0.092788	0.6617758	0.322293	0.6240917	0.1018643	0.1047863	0.0748457	0.3861892	0.4748201	0.6262922	0.4859159	0.6586634	0.45534	0.5750087	0.6431942	0.2220292	0.6329582	0.6614503	0.6116843
7	300	0.3853189	0.3345592	0.6294071	0.252301	0.5773738	0.053454	0.6780805	0.6789623	0.073678	0.1029388	0.0137837	0.3146199	0.0001608	0.1131516	0.001929	0.017612	0.3101231	0.0517745	0.0035404	0.0067295	0.0716078	0.5557872	0.4371046	0.3248249	0.1119666	0.6401779	0.4695677	0.151987	0.639207	0.461454	0.1251323	0.0102769	0.2318116	0.0950736	0.6836997	0.604874	0.054863	0.1316399	0.0604965	0.5694094	0.2980606	0.6817417	0.3527782	0.4091166	0.6425975	0.0734004	0.0817092	0.0750651	0.1143866	0.2301471	0.2950977	0.1199303	0.1167436	0.1984271	0.4692026	0.6639629	0.6429851	0.5670115	0.0428315	0.0866954	0.0055871	0.5246763	0.5668375	0.2971329	0.4903384	0.4381943	0.3863098	0.4324024	0.1553346	0.0003395	0.4654347	0.1124827	0.1843729	0.4935836	0.5042661	0.2326095	0.1186382	0.0655227	0.1476505	0.0002277	0.4253693	0.1568254	0.6634156	0.3070781	0.5381107	0.068328	0.1494659	0.044597	0.445597	0.6574855	0.5598973	0.4776344	0.6315608	0.4512235	0.5540413	0.603457	0.2489162	0.7231081	0.4575595	0.5419553
8	350	0.3090947	0.2460168	0.6193267	0.2795775	0.618048	0.0404252	0.5564466	0.5862999	0.0801882	0.0806998	0.0063975	0.3129095	9.66e-05	0.1282522	0.0232344	0.0319032	0.3639993	0.0851569	0.0014243	0.0019963	0.0829471	0.3821571	0.5128445	0.3991089	0.16311	0.6043437	0.4375687	0.1251645	0.6373759	0.4734715	0.1525613	0.0639906	0.2058424	0.1141706	0.6177422	0.672707	0.0335592	0.0983182	0.0433013	0.6142714	0.3438409	0.661495	0.3331464	0.4596424	0.6978356	0.0665303	0.0447548	0.0377806	0.1217807	0.2494726	0.3655214	0.1948586	0.1505605	0.1525449	0.4093592	0.6710046	0.5792103	0.4494173	0.092637	0.0851824	0.0340462	0.4206736	0.6104286	0.3503152	0.402386	0.4457218	0.3591369	0.555492	0.0902288	3.33e-05	0.5977247	0.1967329	0.3160414	0.459149	0.66153	0.1995657	0.1026185	0.1026459	0.1181983	0	0.4444331	0.1398661	0.6924467	0.3552469	0.502301	0.1090983	0.1276227	0.0360413	0.5300903	0.6359554	0.6501322	0.5467056	0.6204271	0.3674473	0.4748665	0.5564174	0.3050134	0.5976518	0.6710424	0.6542951
9	400	0.4326487	0.2750035	0.4980213	0.2545079	0.5660528	0.0302526	0.6368098	0.5848407	0.0572206	0.0936203	0.022975	0.4302061	0.0004172	0.096165	0.0007708	0.0262785	0.329147	0.0725964	0.0059485	9.07e-05	0.1402287	0.3584322	0.4875488	0.4405431	0.2917311	0.6440836	0.5504151	0.1580728	0.6440739	0.4137991	0.1568406	0.0311557	0.2108234	0.1401724	0.6295493	0.6382442	0.0863971	0.1161875	0.0734377	0.6678754	0.3608511	0.6173159	0.4414475	0.4396437	0.5431978	0.0677895	0.0744844	0.022121	0.1926367	0.2330216	0.3309377	0.1943886	0.1473835	0.2779591	0.4305078	0.582014	0.573631	0.4178256	0.107274	0.135527	0.0160517	0.520271	0.4765748	0.287884	0.4174026	0.3820889	0.3884756	0.5435813	0.0931403	0	0.6478249	0.1650787	0.4581303	0.4150339	0.5348656	0.2006529	0.1180734	0.1136062	0.2382465	0	0.5025735	0.1674547	0.6166306	0.3320415	0.6178509	0.1042081	0.0711505	0.0640159	0.5585568	0.6016178	0.6981402	0.4241218	0.7163135	0.2994598	0.4535834	0.5460418	0.2924683	0.7604156	0.5264788	0.712207
10	450	0.3790276	0.3064461	0.5936813	0.2154097	0.6107058	0.0280196	0.645771	0.6188806	0.0674169	0.1026828	0.0110949	0.3511843	0.0006913	0.1123491	0.0090351	0.0457197	0.3486121	0.0607629	0.0020845	0.0068357	0.0771062	0.4253132	0.5396183	0.4306979	0.3237299	0.6709126	0.4062618	0.1248423	0.5958317	0.4060273	0.1420282	0.0133372	0.3362012	0.1336741	0.5662011	0.6632821	0.0629577	0.1292966	0.0620164	0.583064	0.3296118	0.6336906	0.3959913	0.3745505	0.5900419	0.0459952	0.0450153	0.042172	0.1377088	0.1865588	0.4199218	0.1522822	0.2389748	0.1717217	0.4692143	0.6964997	0.737878	0.3702552	0.0767436	0.0853395	0.0202036	0.5605749	0.5453806	0.2816183	0.3860868	0.476574	0.3726472	0.5623568	0.1196684	2.23e-05	0.6102075	0.174467	0.4178921	0.5583962	0.4876072	0.1736394	0.1787477	0.0660631	0.2297676	0.016404	0.5241232	0.1592391	0.5287081	0.38076	0.597066	0.0679427	0.106471	0.0610852	0.5790715	0.5225193	0.6979745	0.4381455	0.6454575	0.4229617	0.6382664	0.5892982	0.2637499	0.5380221	0.6488439	0.5931548
