name	replicate	time	YBL103C	YKL112W	YDR216W	YMR280C	YER040W	YGR142W	YNL036W	YML123C	YHR136C	YDR171W	YCR021C	YGR043C	YHR018C	YAL054C	YFL014W	YOR348C	YDL170W	YBR054W	YCR010C	YDR384C	YER150W	YPL061W	YKR075C	YLR009W	YPL111W	YOR388C	YJL172W	YPL012W	YOR100C	YMR169C	YNR046W	YJR110W	YMR193W	YGL254W	YLR174W	YER002W	YDL018C	YIL136W	YGR183C	YER158C	YJR148W	YNR064C	YGR067C	YPL265W	YKR056W	YCL064C	YJL063C	YDL160C	YIL037C	YLR327C	YDL091C	YHR051W	YHL028W	YMR229C	YOR206W	YJR094C	YIL155C	YJL088W	YLL011W	YNR028W	YDR043C	YDR258C	YKL071W	YNL194C	YLR276C	YLR438W	YNL037C	YKR009C	YKL015W	YGL009C	YPR002W	YDR361C	YLL033W	YOR302W	YNL270C	YFR022W	YAL062W	YDR523C	YPL036W	YJL217W	YOR056C	YBL042C	YLR130C	YLR267W	YHR029C	YOL014W	YNR053C	YLR258W	YDR380W	YLL034C	YDL110C	YER067W	YLR178C	YGL229C	YOR032C	YHR216W	YJL153C	YKL040C	YHR087W	YKL062W
BY4716.0	1	0	9.531639971	11.32400726	7.850137135	5.671940019	9.377923191	11.36228995	12.04657839	14.2779558	12.73985503	10.87889628	8.053347885	7.247161086	11.58089967	9.008643437	9.083837502	6.614183944	8.947945592	8.811781678	6.670331843	12.52125908	9.023695655	14.00418547	9.732840902	12.53931004	13.00440189	5.268197628	11.91456256	12.35279833	5.499313398	7.308852912	12.29466509	9.923570386	9.759945673	9.067912136	6.758823869	11.70405401	10.58529467	9.198552871	11.01389844	9.13942165	13.27230984	6.300303957	6.3955048	12.49159725	11.15401984	12.78364429	10.86016515	11.77567115	5.803368618	8.248153087	8.729228594	11.66205313	8.228133454	12.68168129	11.60684434	8.470410397	10.20036343	6.898034406	11.59588565	10.16998778	8.71448689	10.47199969	6.331407706	5.299119693	12.25665521	12.92325327	12.58292128	9.724239285	9.372894027	12.19222733	9.109922945	11.83577611	8.263173183	9.692287705	5.992218862	8.101458071	8.179214573	7.585036589	8.335667365	12.58473127	11.2075368	11.45899432	11.35562479	7.088976496	11.15726451	10.22291423	12.69579749	10.96649503	9.008119692	11.56447373	9.769378435	10.04398407	9.825272638	9.067818201	6.050580844	10.75201484	7.794825725	10.77903722	8.802693189	8.563038632
BY4716.10	1	10	9.58783932	11.11526454	9.153630166	7.590057758	9.389137858	11.79525734	12.73731017	13.88817265	12.15877922	13.35064998	9.14319058	7.959547749	11.79850988	9.475351503	10.16048512	11.50851795	9.476522926	10.37407086	7.067801102	12.29226765	10.04960323	14.16471046	10.13369197	10.86572666	14.15008749	5.590795326	12.54156041	11.1284667	6.719095043	7.695331052	11.33705629	10.38082087	9.444927883	8.887859669	6.919473655	10.43881434	11.13886773	10.76048585	11.7137697	9.736388398	13.85349014	6.935307371	6.647151484	13.85784518	8.821685878	13.25354226	10.90804352	12.03103906	5.898251826	11.32134297	9.534949551	12.06472036	10.45414699	12.12788848	10.29605105	8.384623271	11.45892222	6.274032159	8.584974894	10.38497676	9.941612172	12.17371003	6.749527189	6.874365863	10.64646638	13.46676147	12.77110193	10.01404275	9.348564279	12.23873783	9.758623457	11.09742803	7.633918903	9.008110584	6.185346474	8.346212651	8.873732387	6.327059241	8.198870797	12.71022264	9.734492057	9.579739651	10.52900983	9.77175541	11.1865811	9.381892375	9.262335051	12.97360487	10.44748776	10.13400522	11.41956604	12.76249744	11.26988518	10.03111014	6.228649146	10.78331455	7.620877147	10.718528	11.86985057	10.91861381
BY4716.20	1	20	9.948749983	10.69329399	8.41810193	7.658954332	10.04423631	9.836148507	13.0077289	12.84866487	10.65099898	12.89957606	7.313293558	8.800111617	13.48335934	10.16960466	11.71319944	12.07830025	10.31625299	10.53998896	6.986392734	11.24192372	10.2432416	13.86592112	8.934360308	8.06968022	14.31846639	5.398286146	13.45192219	8.051158773	7.737048025	7.741652937	10.47391593	10.43611233	9.989386535	9.57976294	6.229761295	9.683624434	11.40246205	11.22844351	12.04047064	9.96511854	14.24017263	7.640370006	7.290072047	13.80398524	7.927877508	13.70229401	11.39949842	11.95434941	6.21209919	10.76070289	9.901348484	12.43504406	10.32083725	10.18417554	6.68792369	8.009803363	11.10307718	8.698312873	8.220059324	10.25210933	9.896980992	11.99928013	6.82229145	7.427115064	8.589941785	13.85287257	13.0883786	10.39722323	9.456886458	12.01687332	10.69712401	10.24488572	7.99085837	10.276267	6.148447931	8.458034949	10.41989949	5.968408494	7.679502101	13.00181751	8.496714602	9.085690099	9.864494224	10.1574766	12.28738245	9.262288872	8.411743411	13.20818917	12.49652091	7.793653613	11.7228098	12.2534822	12.47687705	9.790358459	6.22255297	11.00576538	7.503948964	10.86291286	12.25527697	10.52637718
BY4716.30	1	30	10.10961617	10.441536	7.677307202	7.535761165	10.3166507	9.007856096	13.09139602	12.9479209	10.47808042	12.59175928	7.033145046	9.620020722	14.06198357	10.30990757	12.32576246	11.52845608	10.87228471	10.08022304	6.677430526	10.31753593	9.909711262	13.49679642	8.859273464	8.039285163	14.33151033	5.406395722	14.05101622	7.632534227	8.516262106	8.096139552	10.31411834	10.46094972	10.01026074	9.795709145	6.539578283	9.528440282	11.33860309	11.41545298	11.97314163	10.1682513	14.39388713	8.190078687	7.538078449	13.82195609	7.894204057	13.92180083	11.34945465	12.02389647	6.355463901	10.34863048	10.1711808	12.60394865	9.948872887	8.06209029	6.879960853	7.624640523	11.19413683	9.031057053	7.856621039	9.949654938	10.24563342	12.08549576	6.874096038	7.926667511	8.498566466	13.62647987	13.21469021	10.70087741	9.573523071	12.08722853	11.32750433	9.749606964	7.985494264	11.49059035	5.96040166	8.672856848	11.28045966	5.80852199	7.738004627	13.34614317	8.037295458	8.841335001	10.33467802	9.750601377	13.0571022	9.07213631	7.945285724	13.27848703	13.14119991	7.4121083	11.76979546	12.26428892	12.8243724	9.774120055	6.198245627	11.16196273	7.687627918	10.99885168	11.94814749	10.83127703
BY4716.40	1	40	10.31740555	10.21360471	7.606663172	7.508995092	10.80154216	8.840404199	13.23655054	13.56834279	10.63168312	12.08048188	6.932752484	10.09292762	14.32546776	10.26261299	12.54929072	10.76325756	11.31267914	10.08111782	6.700052823	9.956966197	9.720555776	13.18354637	8.879392602	7.986360561	14.44209356	5.394538587	14.33649206	7.655908218	9.163814945	8.118310352	10.10863987	10.62083552	9.694226857	9.859013029	6.902162442	9.389647944	11.35221647	11.19483091	12.11657017	10.12692898	14.44404657	8.031890271	7.829707078	13.8143825	8.312560251	13.90280199	11.21562881	12.04727718	6.637265916	9.888657479	10.09027378	12.6959574	9.574619607	7.709678818	7.0106925	7.721500181	11.19534885	10.01091699	7.521494377	9.691507291	10.33836618	12.10677271	7.226537077	7.668426829	8.898062811	13.53314025	13.21916163	10.73711775	9.529711751	11.91959643	11.65059661	9.538104185	8.032769931	12.58603978	6.48861149	8.796930269	11.88699409	5.841346684	8.006697205	13.52916753	7.953083663	9.331684009	10.8436827	9.557974105	13.57558989	8.887837067	7.775751377	13.2579859	13.42079283	7.340397301	11.59107715	11.73841348	12.99144525	9.649630677	6.286372961	11.13956091	7.955862648	11.12591998	11.68566751	11.12695538
BY4716.50	1	50	10.51886838	10.07046335	7.573548598	7.461715428	11.05615357	9.351735818	13.34549781	13.90689262	10.86529528	12.14967113	7.082296527	10.51282407	14.40132859	10.19633296	12.66494791	9.739203463	11.64804467	10.10127178	6.382619496	10.04017992	9.684739897	13.22797919	9.215496197	7.947594675	14.5359428	5.56295185	14.43743602	7.742232112	9.551920862	8.005529481	10.08651129	10.75015338	9.560939674	9.835813769	7.006367745	9.303558598	11.30617582	11.12278973	12.32722493	10.07476609	14.51638202	8.234688089	7.671056516	13.77154865	8.600881745	13.94706796	11.05758792	12.02707067	6.664001988	10.21210805	10.1793492	12.74834191	9.199601483	7.554965674	6.973990389	7.774456916	11.26210691	10.55529012	7.603012917	9.450592037	10.39689839	12.53308946	7.153289001	7.488658017	9.190922849	13.51035963	13.0631149	10.78393331	9.503903828	11.89410787	11.90521957	9.396255369	8.179824358	13.31889664	6.880759588	8.936040674	12.24910851	5.790029559	8.191231547	13.88291948	8.094259606	9.645154994	10.96823241	9.901802091	13.88107106	8.721766067	7.646819589	13.12561631	13.41543252	7.473974746	11.54463948	11.55346142	13.05253599	9.6875541	6.428761192	10.9518774	7.817126569	11.29235508	11.55761022	11.35639196
RM11.1a.0	2	0	9.692225555	11.00778674	8.142501583	5.813216267	8.905203712	10.70464953	12.05804567	13.30604126	9.128039516	10.46625893	8.492209697	7.440538377	11.04519957	9.097664042	10.36810582	9.188561192	8.983681679	8.375073033	7.50433026	11.4450848	9.070580851	13.97452264	10.51980973	12.80676891	12.89456284	6.698211058	12.5917692	12.21840322	6.002348917	7.592550586	12.16276991	9.954247999	10.20135867	9.527048906	7.134931329	11.80872811	10.33300938	9.216451515	11.77618024	10.57676804	11.35022335	6.202498477	6.108054883	11.98937145	11.15030347	11.49448162	11.25726526	11.24198038	6.052729569	8.732020339	8.9649372	12.61923948	9.316947719	12.45375296	11.92882134	5.610413836	10.57376986	8.540294169	11.5060316	10.38790982	9.913827134	9.554054094	6.619916713	6.350385174	12.33863007	13.44567209	12.08503388	9.567062439	9.234682588	13.69648157	10.21124656	12.05708688	8.954864496	9.666455989	6.254953736	7.838148628	6.624915777	8.746669145	8.81992549	4.888791955	11.5483713	12.21470365	11.50175374	6.361011105	10.04842075	12.38925176	13.13859677	9.756908469	8.811813422	11.4210738	10.62537075	10.62121569	10.19187942	7.569584354	9.423561866	11.10009749	8.674812262	10.62773606	8.964773852	9.551477724
RM11.1a.10	2	10	9.62716879	10.94404074	8.570355305	7.281584855	9.22082552	11.1292386	12.55631616	12.19076757	8.452158861	13.3433858	9.06923585	7.665067823	11.45351314	9.234991413	11.99886696	13.32856827	9.361387173	8.857345598	7.422006412	10.37424324	9.92506865	14.29369592	11.00624065	11.1601732	13.88124619	6.218492891	13.04545857	11.01242539	6.719248531	7.85901293	11.35916245	10.27141397	10.20226939	9.158141118	6.697627803	10.51225317	10.94004592	11.03617962	12.48522169	11.13924368	13.11254666	6.344943049	5.569209413	13.87885182	9.233013649	12.7374652	11.28025343	11.39975555	5.816327142	11.2475762	9.511670195	12.83785091	10.68425112	11.93281298	10.55932314	5.943852616	12.09073882	8.078836221	8.369163821	10.57410944	10.57035941	11.65196212	6.549073242	8.170101842	10.68452462	13.60719388	12.22725608	9.93626734	9.322138895	13.73863919	9.805448	11.31040887	8.29983584	8.691910863	6.084224796	7.953840514	6.633199409	7.432864584	8.144091062	4.872092491	9.82130725	10.88033298	10.64236474	7.342643143	10.37369923	11.87826765	9.669597327	12.43383864	9.4084136	9.659544924	12.07475808	13.01807702	11.01853035	8.464666137	9.430489752	11.02973715	8.377485078	10.643261	12.31632296	11.5072105
RM11.1a.20	2	20	10.35317124	10.41511953	8.23417282	7.224202287	10.0358724	8.760818914	13.09492371	10.31122028	7.620363436	12.62191245	7.756097991	8.44675769	13.65871873	10.04757483	13.06551081	13.62494338	10.28947426	9.002911765	7.175638582	9.065721757	10.27317734	14.17572813	9.67270202	7.755936155	14.11213974	6.378224389	14.01513128	7.509693092	8.129111861	8.241121952	10.25577861	10.30504285	10.69453866	9.454325603	6.441622279	9.721538572	11.22538615	11.58219368	12.66045524	10.92671313	13.81533567	6.558489402	5.545262754	13.8689357	8.2695561	13.69658981	11.68702052	11.37249087	6.094397826	10.48565571	9.994855892	13.21254729	10.20569427	10.09310562	7.101043508	5.854216679	11.72858677	10.40271251	8.240391508	10.38030532	10.42534461	11.69676436	6.537374177	8.523654172	7.96896766	13.92637756	12.92825456	10.45330224	9.351364468	13.71720187	11.24127126	10.27348282	8.551953037	10.08406519	6.151168603	7.779004841	7.957355085	6.806452682	8.262393748	4.905113442	8.856607535	10.00758346	9.650672854	8.897587254	11.64067105	11.11332772	8.581150392	12.85201139	11.35416095	7.638224067	12.11306236	12.10875	12.09979061	8.960183867	9.384286102	11.1775928	8.629709108	10.84769913	12.43096057	11.13368756
RM11.1a.30	2	30	10.41215922	10.423496	7.777279056	7.198665666	10.24355278	7.923501402	12.97735134	10.58905655	7.507331841	12.00390113	7.189809829	8.813814816	14.09099244	10.15396888	13.31500699	13.59179213	10.65476892	8.601293213	6.962218021	9.034244052	9.963620004	13.87242979	9.619538859	7.91516588	14.2850938	6.306413688	14.4648468	7.328209442	8.98134157	8.467305591	10.17524932	10.42855554	10.60549089	9.522277781	6.675898439	9.766860399	11.29373806	11.40628295	12.23244667	10.89446385	14.02490044	7.059520368	5.843590266	13.858358	8.509565485	13.85428854	11.87360672	11.28478587	6.131047671	9.498017083	10.02400532	13.28885161	10.14247869	8.321270277	7.169115563	5.913802337	11.55702865	10.40816548	8.002011846	10.16171329	10.5481422	11.56691203	6.757168919	8.437564868	8.087192444	14.01815804	13.30170527	10.67812813	8.976694468	13.57973911	12.05866392	9.779645592	8.693763258	11.1037056	6.085649523	8.010782636	8.832926794	6.577552397	8.494655449	4.815131711	8.715214277	10.12815536	10.34340395	8.610194479	12.47741961	10.66042852	8.341099682	12.57075863	11.84545988	7.722879515	11.97795119	11.37311408	12.55927509	8.693796711	9.415876416	10.98616745	8.935336011	10.80049811	11.95510932	11.43069289
